League;Season;Date;Home;Away;FT_Goals_H;FT_Goals_A;FT_Odd_H;FT_Odd_D;FT_Odd_A;FT_Odd_Over25;FT_Result;Profit_Back_H;Profit_Back_D;Profit_Back_A;Profit_Lay_H;Profit_Lay_D;Profit_Lay_A;p_H;p_D;p_A;p_Over;p_H__p_D;p_H__p_A;p_D__p_A;p_D__p_Over;Media_SG_H;Media_SG_A;DesvPad_SG_H;DesvPad_SG_A;CV_SG_H;CV_SG_A;Media_Ptos_H;Media_Ptos_A;DesvPad_Ptos_H;DesvPad_Ptos_A;CV_Ptos_H;CV_Ptos_A;Media_VG_H;Media_VG_A;DesvPad_VG_H;DesvPad_VG_A;CV_VG_H;CV_VG_A;Media_CG_H;Media_CG_A;DesvPad_CG_H;DesvPad_CG_A;CV_CG_H;CV_CG_A;CV_HDA;CV_HD;CV_HA;CV_DA;CV_DO;Media_Odd_H;DesvPad_Odd_H;CV_Odd_H;Media_Odd_A;DesvPad_Odd_A;CV_Odd_A;FT_Odd_HA_DNB_H;FT_Odd_HA_DNB_A;Profit_HA_0_H;Profit_HA_0_A
SPAIN - LALIGA2;2022/2023;09/01/2023;Huesca;Albacete;1;1;2,75;2,88;2,9;2,88;D;-1;1,88;-1;0,49;-1;0,45;0,3636;0,3472;0,3448;0,3472;1,0473;1,0545;1,0069;1;0,7;-0,3;1,0593;1,6364;1,5134;-5,4546;2,1;1,5;1,1972;1,354;0,5701;0,9027;0,3153;0,6569;0,25;0,3991;0,7928;0,6075;0,379;0,1657;0,1337;0,0634;0,3528;0,3825;0,0238;0,0231;0,0265;0,0035;0;2,357;0,3961;0,1681;3,89;0,5532;0,1422;1,85;2;0;0
EGYPT - PREMIER LEAGUE;2022/2023;14/12/2022;Ghazl El Mahallah;El Gaish;3;2;2,99;2,86;2,6;2,5;H;2,03;-1;-1;-1;0,46;0,53;0,3344;0,3497;0,3846;0,4;0,9565;0,8696;0,9091;0,8741;-0,2;0;1,3166;1,0541;-6,5828;1;1,5;1,5;1,354;1,354;0,9027;0,9027;0,1973;0,3431;0,2802;0,2216;1,4202;0,6458;0,4154;0,3018;0,2477;0,1038;0,5963;0,344;0,059;0,0222;0,0698;0,0476;0,0672;3,589;1,8821;0,5244;3,782;2,3424;0,6194;2,06;1,76;1,06;-1
SPAIN - LALIGA2;2022/2023;25/11/2022;Huesca;Gijon;0;0;2,87;2,87;2,8;2,87;D;-1;1,87;-1;0,46;-1;0,47;0,3484;0,3484;0,3571;0,3484;1;0,9756;0,9756;1;0,7;-0,5;1,0593;1,7795;1,5134;-3,559;2,1;0,9;1,1972;0,8756;0,5701;0,9729;0,4133;0,2655;0,3047;0,3483;0,7373;1,3117;0,3623;0,3005;0,15;0,1158;0,414;0,3855;0,0117;0;0,0123;0,0123;0;2,245;0,3149;0,1403;3,255;0,8719;0,2679;1,98;1,88;0;0
SPAIN - LALIGA2;2022/2023;01/11/2022;Racing Santander;Alaves;1;1;2,7;2,87;2,9;2,7;D;-1;1,87;-1;0,5;-1;0,45;0,3704;0,3484;0,3448;0,3704;1,063;1,0741;1,0105;0,9408;-0,4;-0,8;0,9661;1,7512;-2,4152;-2,189;0,9;1,1;1,1972;1,3703;1,3302;1,2457;0,2866;0,3595;0,2877;0,2862;1,0038;0,7959;0,295;0,2939;0,1732;0,104;0,587;0,354;0,0318;0,0305;0,0357;0,0052;0,0305;3,697;2,1338;0,5772;3,267;0,9574;0,293;1,88;1,98;0;0
CYPRUS - FIRST DIVISION;2022/2023;30/10/2022;Apollon;APOEL;0;1;2,75;2,8;2,6;2,45;A;-1;-1;1,65;0,49;0,47;-1;0,3636;0,3571;0,3846;0,4082;1,0182;0,9455;0,9286;0,875;-0,3;0,5;1,3375;1,8409;-4,4583;3,6818;1,3;2,1;1,2517;1,4491;0,9628;0,6901;0,3298;0,5837;0,3466;0,3901;1,051;0,6682;0,4285;0,2919;0,2371;0,1517;0,5534;0,5195;0,0318;0,009;0,028;0,037;0,0667;2,073;0,4953;0,2389;2,071;0,6383;0,3082;1,9;1,9;-1;0,9
MONTENEGRO - PRVA CRNOGORSKA LIGA;2022/2023;15/10/2022;Rudar;Iskra;3;1;2,52;2,82;2,78;2,47;H;1,56;-1;-1;-1;0,47;0,48;0,3968;0,3546;0,3597;0,4049;1,119;1,1032;0,9858;0,8759;-0,3;-0,8;1,4181;2,0976;-4,7271;-2,622;1,4;0,7;1,4298;1,2517;1,0213;1,7881;0,3355;0,6294;0,2959;0,6288;0,8818;0,999;0,3695;0,2114;0,211;0,127;0,5709;0,6009;0,0508;0,0562;0,0491;0,0071;0,0662;3,255;1,4438;0,4436;4,259;1,5783;0,3706;1,78;1,92;0,78;-1
ARMENIA - PREMIER LEAGUE;2022/2023;01/10/2022;Pyunik Yerevan;Alashkert;5;1;2,43;2,85;2,8;2,38;H;1,48;-1;-1;-1;0,46;0,47;0,4115;0,3509;0,3571;0,4202;1,1728;1,1523;0,9825;0,8351;0,9;0,5;1,2867;1,5811;1,4296;3,1623;2,2;1,9;1,3166;1,1972;0,5984;0,6301;0,2332;0,3878;0,1931;0,3556;0,8283;0,9168;0,4881;0,3564;0,2129;0,1878;0,4362;0,5269;0,073;0,0795;0,0707;0,0088;0,0899;1,539;0,2154;0,14;2,343;0,992;0,4234;1,79;2,02;0,79;-1
COLOMBIA - PRIMERA A;2022;21/09/2022;America De Cali;Deportes Tolima;0;0;2,8;2,8;2,87;2,7;D;-1;1,8;-1;0,47;-1;0,46;0,3571;0,3571;0,3484;0,3704;1;1,025;1,025;0,9643;0,6;-0,3;1,075;1,4181;1,7916;-4,7271;2;0,8;1,3333;1,2293;0,6667;1,5366;0,3949;0,3842;0,3852;0,3007;0,9755;0,7825;0,3452;0,3066;0,1834;0,1176;0,5312;0,3835;0,0116;0;0,0123;0,0123;0,0182;2,287;0,5847;0,2557;3,155;0,9121;0,2891;1,9;1,95;0;0
BRAZIL - SERIE B;2022;03/09/2022;CRB;Sport Recife;2;0;2,75;2,8;2,65;2,8;H;1,8;-1;-1;-1;0,47;0,52;0,3636;0,3571;0,3774;0,3571;1,0182;0,9636;0,9464;1;0,4;-0,8;0,6992;1,3166;1,748;-1,6457;1,6;0,7;0,9661;0,9487;0,6038;1,3553;0,3184;0,2301;0,3111;0,2511;0,9771;1,0914;0,3582;0,2769;0,1329;0,0894;0,371;0,3229;0,023;0,009;0,0185;0,0275;0;2,544;0,5586;0,2196;3,655;1,2874;0,3522;1,91;1,84;0,91;-1
MALTA - PREMIER LEAGUE;2022/2023;29/08/2022;Hibernians;Hamrun;1;4;2,5;2,85;2,6;2;A;-1;-1;1,65;0,57;0,46;-1;0,4;0,3509;0,3846;0,5;1,14;1,04;0,9123;0,7018;0,6;0;0,9661;1,4142;1,6102;1;1,9;1,5;1,1972;1,354;0,6301;0,9027;0,4173;0,2572;0,4364;0,1969;1,0458;0,7654;0,4518;0,4496;0,2492;0,1051;0,5515;0,2338;0,0542;0,0654;0,0196;0,0459;0,1753;1,905;0,3779;0,1984;1,939;0,3223;0,1662;1,8;2,01;-1;1,01
